text,target,category,polarity
"Sicak bir ortam - Yeri iyi olmasa da, zevkli dösenmis, yemekleri sunum ve tat açisindan tatmin edici, renkli bir mekan. Sira bekleme olayi ise çok kötü...",,LOCATION#GENERAL,negative
"Sicak bir ortam - Yeri iyi olmasa da, zevkli dösenmis, yemekleri sunum ve tat açisindan tatmin edici, renkli bir mekan. Sira bekleme olayi ise çok kötü...",,AMBIENCE#GENERAL,positive
"Sicak bir ortam - Yeri iyi olmasa da, zevkli dösenmis, yemekleri sunum ve tat açisindan tatmin edici, renkli bir mekan. Sira bekleme olayi ise çok kötü...",,FOOD#QUALITY,positive
"Sicak bir ortam - Yeri iyi olmasa da, zevkli dösenmis, yemekleri sunum ve tat açisindan tatmin edici, renkli bir mekan. Sira bekleme olayi ise çok kötü...",,FOOD#STYLE_OPTIONS,positive
"Aci sevmeyenlere uygun bir mekan degil. Manzara muhtesem,ortam güzel ama bir karisik köfte tabagi acili köfteyle geliyorsa,fajita da aciysa bana uygun degil.",,FOOD#QUALITY,negative
"Aci sevmeyenlere uygun bir mekan degil. Manzara muhtesem,ortam güzel ama bir karisik köfte tabagi acili köfteyle geliyorsa,fajita da aciysa bana uygun degil.",,AMBIENCE#GENERAL,positive
"Aci sevmeyenlere uygun bir mekan degil. Manzara muhtesem,ortam güzel ama bir karisik köfte tabagi acili köfteyle geliyorsa,fajita da aciysa bana uygun degil.",,RESTAURANT#GENERAL,neutral
"Sadece meze yiyin. Her hafta gelmeye çalışıyoruz. Bütün balıkları değişik soslarla pişirip getiriyorlar, siz dur diyene kadar da mezeler gelmeye devam ediyor. Rekorum 9 meze! Balığın fast food gibi yenildiği yer. Yavaş yavaş balık keyfi yapmak isterseniz önermem. Servisi çok hızlı. Mısır ekmeği de sıcacık bayılıyorum.",,SERVICE#GENERAL,positive
"Sadece meze yiyin. Her hafta gelmeye çalışıyoruz. Bütün balıkları değişik soslarla pişirip getiriyorlar, siz dur diyene kadar da mezeler gelmeye devam ediyor. Rekorum 9 meze! Balığın fast food gibi yenildiği yer. Yavaş yavaş balık keyfi yapmak isterseniz önermem. Servisi çok hızlı. Mısır ekmeği de sıcacık bayılıyorum.",,RESTAURANT#GENERAL,positive
"Sadece meze yiyin. Her hafta gelmeye çalışıyoruz. Bütün balıkları değişik soslarla pişirip getiriyorlar, siz dur diyene kadar da mezeler gelmeye devam ediyor. Rekorum 9 meze! Balığın fast food gibi yenildiği yer. Yavaş yavaş balık keyfi yapmak isterseniz önermem. Servisi çok hızlı. Mısır ekmeği de sıcacık bayılıyorum.",,FOOD#QUALITY,positive
"Sadece meze yiyin. Her hafta gelmeye çalışıyoruz. Bütün balıkları değişik soslarla pişirip getiriyorlar, siz dur diyene kadar da mezeler gelmeye devam ediyor. Rekorum 9 meze! Balığın fast food gibi yenildiği yer. Yavaş yavaş balık keyfi yapmak isterseniz önermem. Servisi çok hızlı. Mısır ekmeği de sıcacık bayılıyorum.",,FOOD#STYLE_OPTIONS,positive
"60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap : ) Evet aynen böyle olmuştu Dem'de... Hem çok keyif almıştım, hem de yok yok bir çay için bu kadar paraya değmez demiştim ve öve öve bitirilmeyen Mizuno Pudding'i beğenmemiştim.",,DRINKS#PRICES,negative
"60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap : ) Evet aynen böyle olmuştu Dem'de... Hem çok keyif almıştım, hem de yok yok bir çay için bu kadar paraya değmez demiştim ve öve öve bitirilmeyen Mizuno Pudding'i beğenmemiştim.",,DRINKS#STYLE_OPTIONS,positive
"60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap : ) Evet aynen böyle olmuştu Dem'de... Hem çok keyif almıştım, hem de yok yok bir çay için bu kadar paraya değmez demiştim ve öve öve bitirilmeyen Mizuno Pudding'i beğenmemiştim.",,AMBIENCE#GENERAL,positive
"60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap : ) Evet aynen böyle olmuştu Dem'de... Hem çok keyif almıştım, hem de yok yok bir çay için bu kadar paraya değmez demiştim ve öve öve bitirilmeyen Mizuno Pudding'i beğenmemiştim.",,FOOD#QUALITY,negative
"60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap : ) Evet aynen böyle olmuştu Dem'de... Hem çok keyif almıştım, hem de yok yok bir çay için bu kadar paraya değmez demiştim ve öve öve bitirilmeyen Mizuno Pudding'i beğenmemiştim.",,RESTAURANT#GENERAL,positive
Pizzalarının methini çok duyup bir türlü gidemediğimiz yerlerden biriydi burası... Neden şimdiye kadar gelmemişim dedim. Servisten de oldukça memnun kaldık. Biz erken saatte gittik ama akşamları romantik bir yemek için oldukça ideal bir mekan...,,AMBIENCE#GENERAL,positive
Pizzalarının methini çok duyup bir türlü gidemediğimiz yerlerden biriydi burası... Neden şimdiye kadar gelmemişim dedim. Servisten de oldukça memnun kaldık. Biz erken saatte gittik ama akşamları romantik bir yemek için oldukça ideal bir mekan...,,RESTAURANT#GENERAL,positive
Pizzalarının methini çok duyup bir türlü gidemediğimiz yerlerden biriydi burası... Neden şimdiye kadar gelmemişim dedim. Servisten de oldukça memnun kaldık. Biz erken saatte gittik ama akşamları romantik bir yemek için oldukça ideal bir mekan...,,SERVICE#GENERAL,positive
Hangi gün hangi saat gidilse kalabalıktan kurtulmak mümkün değil. Çoluğu çocuğu toplayan ev hanımları grupları mekana olan ilgiyi azaltıyor. Garsonlar iyi. Ürünlerin lezzeti diğer Sütiş'lerle aynı.,,AMBIENCE#GENERAL,negative
Hangi gün hangi saat gidilse kalabalıktan kurtulmak mümkün değil. Çoluğu çocuğu toplayan ev hanımları grupları mekana olan ilgiyi azaltıyor. Garsonlar iyi. Ürünlerin lezzeti diğer Sütiş'lerle aynı.,,SERVICE#GENERAL,positive
"Ansiklopedi kalinliginda menuyu getirip siparisinizi vermek istediginizde o yok, bu uok,su kalmadi seklinde ifadelerle birturlu istediginiz tatliyi yiyemediginiz mekan isletmecisine konuyu ilettiginizde yapacak birseyleri olmadigini buyuk rahatlikla dile getiren , garsonlarinin sattiklari urunden haberdar olmayip isteklerinizi yerine gec veya yanlis getirmeleride cabasi. Kesinlikle tavsiye etmiyorum.",,FOOD#STYLE_OPTIONS,negative
"Ansiklopedi kalinliginda menuyu getirip siparisinizi vermek istediginizde o yok, bu uok,su kalmadi seklinde ifadelerle birturlu istediginiz tatliyi yiyemediginiz mekan isletmecisine konuyu ilettiginizde yapacak birseyleri olmadigini buyuk rahatlikla dile getiren , garsonlarinin sattiklari urunden haberdar olmayip isteklerinizi yerine gec veya yanlis getirmeleride cabasi. Kesinlikle tavsiye etmiyorum.",,RESTAURANT#GENERAL,negative
"Ansiklopedi kalinliginda menuyu getirip siparisinizi vermek istediginizde o yok, bu uok,su kalmadi seklinde ifadelerle birturlu istediginiz tatliyi yiyemediginiz mekan isletmecisine konuyu ilettiginizde yapacak birseyleri olmadigini buyuk rahatlikla dile getiren , garsonlarinin sattiklari urunden haberdar olmayip isteklerinizi yerine gec veya yanlis getirmeleride cabasi. Kesinlikle tavsiye etmiyorum.",,SERVICE#GENERAL,negative
Diğer şubesinin efsaneleşen hikayelerinin ardından defalarca hep belirli sebeplerle geldiğimiz Eleos bence cidden abartılıyor. Yeşilköy şubesini bilemem ama burası standart üzerinde yine de o fiyatlar bence çok saçma. Ayrıca fix menü zorlaması gibi en sinir bozucu uygulamayı burada normalleştirmiş durumdalar. Mezeler de vasatın üzerinde. Balkon/teras bölümü de cidden çok küçük. Yine de Asmalımescit bölgesindeki meyhanelere göre daha fazla tercih edilir bir mekan.,,RESTAURANT#PRICES,negative
Diğer şubesinin efsaneleşen hikayelerinin ardından defalarca hep belirli sebeplerle geldiğimiz Eleos bence cidden abartılıyor. Yeşilköy şubesini bilemem ama burası standart üzerinde yine de o fiyatlar bence çok saçma. Ayrıca fix menü zorlaması gibi en sinir bozucu uygulamayı burada normalleştirmiş durumdalar. Mezeler de vasatın üzerinde. Balkon/teras bölümü de cidden çok küçük. Yine de Asmalımescit bölgesindeki meyhanelere göre daha fazla tercih edilir bir mekan.,,AMBIENCE#GENERAL,negative
Diğer şubesinin efsaneleşen hikayelerinin ardından defalarca hep belirli sebeplerle geldiğimiz Eleos bence cidden abartılıyor. Yeşilköy şubesini bilemem ama burası standart üzerinde yine de o fiyatlar bence çok saçma. Ayrıca fix menü zorlaması gibi en sinir bozucu uygulamayı burada normalleştirmiş durumdalar. Mezeler de vasatın üzerinde. Balkon/teras bölümü de cidden çok küçük. Yine de Asmalımescit bölgesindeki meyhanelere göre daha fazla tercih edilir bir mekan.,,FOOD#QUALITY,neutral
Diğer şubesinin efsaneleşen hikayelerinin ardından defalarca hep belirli sebeplerle geldiğimiz Eleos bence cidden abartılıyor. Yeşilköy şubesini bilemem ama burası standart üzerinde yine de o fiyatlar bence çok saçma. Ayrıca fix menü zorlaması gibi en sinir bozucu uygulamayı burada normalleştirmiş durumdalar. Mezeler de vasatın üzerinde. Balkon/teras bölümü de cidden çok küçük. Yine de Asmalımescit bölgesindeki meyhanelere göre daha fazla tercih edilir bir mekan.,,RESTAURANT#GENERAL,negative
Diğer şubesinin efsaneleşen hikayelerinin ardından defalarca hep belirli sebeplerle geldiğimiz Eleos bence cidden abartılıyor. Yeşilköy şubesini bilemem ama burası standart üzerinde yine de o fiyatlar bence çok saçma. Ayrıca fix menü zorlaması gibi en sinir bozucu uygulamayı burada normalleştirmiş durumdalar. Mezeler de vasatın üzerinde. Balkon/teras bölümü de cidden çok küçük. Yine de Asmalımescit bölgesindeki meyhanelere göre daha fazla tercih edilir bir mekan.,,FOOD#STYLE_OPTIONS,negative
Her zaman gittigim ve servisi her zaman igrenc olan bu mekan artiik iyice rezalet sinirlarini zorlamis. Mekanin isletmecisi beyin tavri tarzi konusmasi uslubu ve terbiyesi yerlerde. Mekanin populerligi yuzunden rahatlar sanirim ama bu rahatlikla populerligi kisa surede kaybederler. Istanbulda tek manzara goren yer olmamakla beraber yemekleride son derece lezzetsiz. Zaten bu saatten sonra sultan sofrasida kursa o isletmeciyle bu mekana bir daha adimimi atmam.,,FOOD#QUALITY,negative
Her zaman gittigim ve servisi her zaman igrenc olan bu mekan artiik iyice rezalet sinirlarini zorlamis. Mekanin isletmecisi beyin tavri tarzi konusmasi uslubu ve terbiyesi yerlerde. Mekanin populerligi yuzunden rahatlar sanirim ama bu rahatlikla populerligi kisa surede kaybederler. Istanbulda tek manzara goren yer olmamakla beraber yemekleride son derece lezzetsiz. Zaten bu saatten sonra sultan sofrasida kursa o isletmeciyle bu mekana bir daha adimimi atmam.,,AMBIENCE#GENERAL,neutral
Her zaman gittigim ve servisi her zaman igrenc olan bu mekan artiik iyice rezalet sinirlarini zorlamis. Mekanin isletmecisi beyin tavri tarzi konusmasi uslubu ve terbiyesi yerlerde. Mekanin populerligi yuzunden rahatlar sanirim ama bu rahatlikla populerligi kisa surede kaybederler. Istanbulda tek manzara goren yer olmamakla beraber yemekleride son derece lezzetsiz. Zaten bu saatten sonra sultan sofrasida kursa o isletmeciyle bu mekana bir daha adimimi atmam.,,RESTAURANT#GENERAL,negative
Her zaman gittigim ve servisi her zaman igrenc olan bu mekan artiik iyice rezalet sinirlarini zorlamis. Mekanin isletmecisi beyin tavri tarzi konusmasi uslubu ve terbiyesi yerlerde. Mekanin populerligi yuzunden rahatlar sanirim ama bu rahatlikla populerligi kisa surede kaybederler. Istanbulda tek manzara goren yer olmamakla beraber yemekleride son derece lezzetsiz. Zaten bu saatten sonra sultan sofrasida kursa o isletmeciyle bu mekana bir daha adimimi atmam.,,SERVICE#GENERAL,negative
"Yemekler super lezzetli, ogle yemeginde cok kalabalik ama saat 2 sonrasinda rahat. Bir tabaga 5 farkli cesit isteyebilirsiniz, ozellikle bugday salatasi ve havuc salatasi muhtesem mutlaka deneyin",,AMBIENCE#GENERAL,negative
"Yemekler super lezzetli, ogle yemeginde cok kalabalik ama saat 2 sonrasinda rahat. Bir tabaga 5 farkli cesit isteyebilirsiniz, ozellikle bugday salatasi ve havuc salatasi muhtesem mutlaka deneyin",,FOOD#QUALITY,positive
"Istanbulda baklavanın adresi. Karaköyden, Eminönünden geçerken uğramalısınız. Sadece baklava değil karışık tabak yaptırın. Çikolatalı baklavayıda özellikle bayanlara tavsiye ederim",,RESTAURANT#GENERAL,positive
"Istanbulda baklavanın adresi. Karaköyden, Eminönünden geçerken uğramalısınız. Sadece baklava değil karışık tabak yaptırın. Çikolatalı baklavayıda özellikle bayanlara tavsiye ederim",,FOOD#QUALITY,positive
"yurtdisindan gelen misafirlerimi memnun etmesiyle,manzarasiyla ve tabii ki meze ve yemekleriyle begenimi kazanmis oldu gelinir tadilir calan muzikler guzel ayari sohbetle hos bir fon oluyor.",,AMBIENCE#GENERAL,positive
"yurtdisindan gelen misafirlerimi memnun etmesiyle,manzarasiyla ve tabii ki meze ve yemekleriyle begenimi kazanmis oldu gelinir tadilir calan muzikler guzel ayari sohbetle hos bir fon oluyor.",,FOOD#QUALITY,positive
Burayi seviyorum gerçekten. ortaya karisik söylerseniz herseyin tadina bakabilirsiniz. Hersey lezzetli statüsüne çok yakin. Keyifli vakit geçirirsiniz emin olun.,,FOOD#QUALITY,positive
Burayi seviyorum gerçekten. ortaya karisik söylerseniz herseyin tadina bakabilirsiniz. Hersey lezzetli statüsüne çok yakin. Keyifli vakit geçirirsiniz emin olun.,,RESTAURANT#GENERAL,positive
"Bira dışında başka bir şey içmenizi istemeyen mekan, bira 7,8 lira iken votka 25, şarap 17.5... Onun dışında, belirli bir saatten sonra müzik sağır edici seviyeye ulaşmakta.",,DRINKS#PRICES,negative
"Bira dışında başka bir şey içmenizi istemeyen mekan, bira 7,8 lira iken votka 25, şarap 17.5... Onun dışında, belirli bir saatten sonra müzik sağır edici seviyeye ulaşmakta.",,AMBIENCE#GENERAL,negative
Balıklarından daha çok kendine has mezeleriyle ön plana çıkmış Alkolsüz bir Balıkçı . mezeleri gerçekten standartların üzerinde mekan neredeyse her gün akşam saatlerinde yoğun oluyor . bunun haricinde çalışanların ilgiside gayet iyi,,SERVICE#GENERAL,positive
Balıklarından daha çok kendine has mezeleriyle ön plana çıkmış Alkolsüz bir Balıkçı . mezeleri gerçekten standartların üzerinde mekan neredeyse her gün akşam saatlerinde yoğun oluyor . bunun haricinde çalışanların ilgiside gayet iyi,,FOOD#QUALITY,positive
Balıklarından daha çok kendine has mezeleriyle ön plana çıkmış Alkolsüz bir Balıkçı . mezeleri gerçekten standartların üzerinde mekan neredeyse her gün akşam saatlerinde yoğun oluyor . bunun haricinde çalışanların ilgiside gayet iyi,,FOOD#STYLE_OPTIONS,positive
Tam bir hayal kırıklığı. Combo tabağı hayalleriyle gittik ve şaka gibi içinde iki üç parça olan çok lezzetsiz bir tabak geldi. Hamburgerleri vasat. Çok çok kötü,,FOOD#QUALITY,negative
Tam bir hayal kırıklığı. Combo tabağı hayalleriyle gittik ve şaka gibi içinde iki üç parça olan çok lezzetsiz bir tabak geldi. Hamburgerleri vasat. Çok çok kötü,,RESTAURANT#GENERAL,negative
Sütiştir dedik kahvaltı yapalım dedik pişman olduk valla. Porsiyonları çok küçük fiyatlar çok Pahalı. Garsonlar ilgisiz çayları kötü. Arada bir belki tatlı yemeye gidilebilir. O da manzarası için.,,AMBIENCE#GENERAL,positive
Sütiştir dedik kahvaltı yapalım dedik pişman olduk valla. Porsiyonları çok küçük fiyatlar çok Pahalı. Garsonlar ilgisiz çayları kötü. Arada bir belki tatlı yemeye gidilebilir. O da manzarası için.,,SERVICE#GENERAL,negative
Sütiştir dedik kahvaltı yapalım dedik pişman olduk valla. Porsiyonları çok küçük fiyatlar çok Pahalı. Garsonlar ilgisiz çayları kötü. Arada bir belki tatlı yemeye gidilebilir. O da manzarası için.,,DRINKS#QUALITY,negative
Sütiştir dedik kahvaltı yapalım dedik pişman olduk valla. Porsiyonları çok küçük fiyatlar çok Pahalı. Garsonlar ilgisiz çayları kötü. Arada bir belki tatlı yemeye gidilebilir. O da manzarası için.,,FOOD#QUALITY,positive
Sütiştir dedik kahvaltı yapalım dedik pişman olduk valla. Porsiyonları çok küçük fiyatlar çok Pahalı. Garsonlar ilgisiz çayları kötü. Arada bir belki tatlı yemeye gidilebilir. O da manzarası için.,,RESTAURANT#GENERAL,negative
Sütiştir dedik kahvaltı yapalım dedik pişman olduk valla. Porsiyonları çok küçük fiyatlar çok Pahalı. Garsonlar ilgisiz çayları kötü. Arada bir belki tatlı yemeye gidilebilir. O da manzarası için.,,FOOD#STYLE_OPTIONS,negative
"Egzotik çayları seviyorsanız mutlaka uğramanız gereken bir mekan. Bourbon vanilla ve Irish Malt tavsiye ettiğim çaylar arasında. Servis kaliteli, çalışanları ise inanılmaz ilgili. Sevdiğiniz çayların bazılarını paket olarak satın alabiliyorsunuz da. Mekandaki müzik seçimleri de harika. Bazen inanılmaz kalabalık olabiliyor haliyle öyle günlerde serviste aksaklıklar yaşanabiliyor.",,DRINKS#STYLE_OPTIONS,positive
"Egzotik çayları seviyorsanız mutlaka uğramanız gereken bir mekan. Bourbon vanilla ve Irish Malt tavsiye ettiğim çaylar arasında. Servis kaliteli, çalışanları ise inanılmaz ilgili. Sevdiğiniz çayların bazılarını paket olarak satın alabiliyorsunuz da. Mekandaki müzik seçimleri de harika. Bazen inanılmaz kalabalık olabiliyor haliyle öyle günlerde serviste aksaklıklar yaşanabiliyor.",,DRINKS#QUALITY,positive
"Egzotik çayları seviyorsanız mutlaka uğramanız gereken bir mekan. Bourbon vanilla ve Irish Malt tavsiye ettiğim çaylar arasında. Servis kaliteli, çalışanları ise inanılmaz ilgili. Sevdiğiniz çayların bazılarını paket olarak satın alabiliyorsunuz da. Mekandaki müzik seçimleri de harika. Bazen inanılmaz kalabalık olabiliyor haliyle öyle günlerde serviste aksaklıklar yaşanabiliyor.",,AMBIENCE#GENERAL,positive
"Egzotik çayları seviyorsanız mutlaka uğramanız gereken bir mekan. Bourbon vanilla ve Irish Malt tavsiye ettiğim çaylar arasında. Servis kaliteli, çalışanları ise inanılmaz ilgili. Sevdiğiniz çayların bazılarını paket olarak satın alabiliyorsunuz da. Mekandaki müzik seçimleri de harika. Bazen inanılmaz kalabalık olabiliyor haliyle öyle günlerde serviste aksaklıklar yaşanabiliyor.",,SERVICE#GENERAL,positive
Mekan güzel ferah. Servis çok hızlı. Çok fazla çeşit var. Bazı çeşitler kebapla çok alakasız olabiliyor. Fiyatları makul. Yemekler lezzetli,,RESTAURANT#PRICES,positive
Mekan güzel ferah. Servis çok hızlı. Çok fazla çeşit var. Bazı çeşitler kebapla çok alakasız olabiliyor. Fiyatları makul. Yemekler lezzetli,,FOOD#STYLE_OPTIONS,conflict
Mekan güzel ferah. Servis çok hızlı. Çok fazla çeşit var. Bazı çeşitler kebapla çok alakasız olabiliyor. Fiyatları makul. Yemekler lezzetli,,AMBIENCE#GENERAL,positive
Mekan güzel ferah. Servis çok hızlı. Çok fazla çeşit var. Bazı çeşitler kebapla çok alakasız olabiliyor. Fiyatları makul. Yemekler lezzetli,,FOOD#QUALITY,positive
Mekan güzel ferah. Servis çok hızlı. Çok fazla çeşit var. Bazı çeşitler kebapla çok alakasız olabiliyor. Fiyatları makul. Yemekler lezzetli,,SERVICE#GENERAL,positive
"Manzara güzel,yemekler güzel ama servis berbat. Bir defa demlik çay içmek istedik musluk suyu ile yapmışlar küf kokuyordu. Sonra değiştirip damacana suyu ile yaptılar. Kısacası berbat.",,RESTAURANT#GENERAL,negative
"Manzara güzel,yemekler güzel ama servis berbat. Bir defa demlik çay içmek istedik musluk suyu ile yapmışlar küf kokuyordu. Sonra değiştirip damacana suyu ile yaptılar. Kısacası berbat.",,DRINKS#QUALITY,negative
"Manzara güzel,yemekler güzel ama servis berbat. Bir defa demlik çay içmek istedik musluk suyu ile yapmışlar küf kokuyordu. Sonra değiştirip damacana suyu ile yaptılar. Kısacası berbat.",,AMBIENCE#GENERAL,positive
"Manzara güzel,yemekler güzel ama servis berbat. Bir defa demlik çay içmek istedik musluk suyu ile yapmışlar küf kokuyordu. Sonra değiştirip damacana suyu ile yaptılar. Kısacası berbat.",,FOOD#QUALITY,positive
"Manzara güzel,yemekler güzel ama servis berbat. Bir defa demlik çay içmek istedik musluk suyu ile yapmışlar küf kokuyordu. Sonra değiştirip damacana suyu ile yaptılar. Kısacası berbat.",,SERVICE#GENERAL,negative
"Sahura arkadaslarla gittik. Açik büfe sahurdu. Mekani çok güzel, çesitler inanilmaz derecede bol ve lezzetli. servisi gayet iyi. Tesis, Fethi Pasa korulugunun içinde yer aliyor.",,SERVICE#GENERAL,positive
"Sahura arkadaslarla gittik. Açik büfe sahurdu. Mekani çok güzel, çesitler inanilmaz derecede bol ve lezzetli. servisi gayet iyi. Tesis, Fethi Pasa korulugunun içinde yer aliyor.",,LOCATION#GENERAL,neutral
"Sahura arkadaslarla gittik. Açik büfe sahurdu. Mekani çok güzel, çesitler inanilmaz derecede bol ve lezzetli. servisi gayet iyi. Tesis, Fethi Pasa korulugunun içinde yer aliyor.",,AMBIENCE#GENERAL,positive
"Sahura arkadaslarla gittik. Açik büfe sahurdu. Mekani çok güzel, çesitler inanilmaz derecede bol ve lezzetli. servisi gayet iyi. Tesis, Fethi Pasa korulugunun içinde yer aliyor.",,FOOD#QUALITY,positive
"Sahura arkadaslarla gittik. Açik büfe sahurdu. Mekani çok güzel, çesitler inanilmaz derecede bol ve lezzetli. servisi gayet iyi. Tesis, Fethi Pasa korulugunun içinde yer aliyor.",,FOOD#STYLE_OPTIONS,positive
Etler kalitesi ortalama. Lezzet ortalama. Neyle kıyaslanarak çok beğenildiğini merak ediyorum açıkçası. Mekan güzel. Bu et bu parayı asla hak etmiyor. Nasıl ve neden bilmiyorum Florya Şazeli'de etin daha lezzetli olduğu söyleniyor. Oraya da gidip tadacağım.,,FOOD#PRICES,negative
Etler kalitesi ortalama. Lezzet ortalama. Neyle kıyaslanarak çok beğenildiğini merak ediyorum açıkçası. Mekan güzel. Bu et bu parayı asla hak etmiyor. Nasıl ve neden bilmiyorum Florya Şazeli'de etin daha lezzetli olduğu söyleniyor. Oraya da gidip tadacağım.,,RESTAURANT#GENERAL,conflict
Etler kalitesi ortalama. Lezzet ortalama. Neyle kıyaslanarak çok beğenildiğini merak ediyorum açıkçası. Mekan güzel. Bu et bu parayı asla hak etmiyor. Nasıl ve neden bilmiyorum Florya Şazeli'de etin daha lezzetli olduğu söyleniyor. Oraya da gidip tadacağım.,,FOOD#QUALITY,negative
"Kuru fasulye için gidilir. Güzel yapıyorlar. Pilav, ayran eşliğinde iyi bir menü. Ama servis konusunda personelinden memnun değilim, bu konuda kendilerini inş. değiştirirler",,FOOD#QUALITY,positive
"Kuru fasulye için gidilir. Güzel yapıyorlar. Pilav, ayran eşliğinde iyi bir menü. Ama servis konusunda personelinden memnun değilim, bu konuda kendilerini inş. değiştirirler",,SERVICE#GENERAL,negative
"Mart ayinin son gunu bugun berbatti burasi. Kahvaltiliklar geldi cay yok gelen menemen bozuk domatesten,kokusu tadi yenecek gibi degil, yan masada surekli onu istemistik biz gelmedi diyip durdu bizim gibi. Normalde sevdigim bir kahvalticiydi bgn ne yedigimi anladim ne bisi!",,FOOD#QUALITY,negative
"Mart ayinin son gunu bugun berbatti burasi. Kahvaltiliklar geldi cay yok gelen menemen bozuk domatesten,kokusu tadi yenecek gibi degil, yan masada surekli onu istemistik biz gelmedi diyip durdu bizim gibi. Normalde sevdigim bir kahvalticiydi bgn ne yedigimi anladim ne bisi!",,RESTAURANT#GENERAL,negative
"Mart ayinin son gunu bugun berbatti burasi. Kahvaltiliklar geldi cay yok gelen menemen bozuk domatesten,kokusu tadi yenecek gibi degil, yan masada surekli onu istemistik biz gelmedi diyip durdu bizim gibi. Normalde sevdigim bir kahvalticiydi bgn ne yedigimi anladim ne bisi!",,FOOD#STYLE_OPTIONS,negative
"Nereye gitsek kararsızlığına düşmek üzereyken kurtarıcı olan mekandır Kütük Ev. İçeriden ve dışarıdan tamamen bir dağ evini andırmasıyla egzotik bir havaya sahip olan mekanda servis nispeten hızlı, fiyatlar pahalı değil, bahçesi güzel. Kışın daha çok tercih edilebilecek bir yer ama yazın da gidilir gidilmesine.",,RESTAURANT#PRICES,positive
"Nereye gitsek kararsızlığına düşmek üzereyken kurtarıcı olan mekandır Kütük Ev. İçeriden ve dışarıdan tamamen bir dağ evini andırmasıyla egzotik bir havaya sahip olan mekanda servis nispeten hızlı, fiyatlar pahalı değil, bahçesi güzel. Kışın daha çok tercih edilebilecek bir yer ama yazın da gidilir gidilmesine.",,AMBIENCE#GENERAL,positive
"Nereye gitsek kararsızlığına düşmek üzereyken kurtarıcı olan mekandır Kütük Ev. İçeriden ve dışarıdan tamamen bir dağ evini andırmasıyla egzotik bir havaya sahip olan mekanda servis nispeten hızlı, fiyatlar pahalı değil, bahçesi güzel. Kışın daha çok tercih edilebilecek bir yer ama yazın da gidilir gidilmesine.",,RESTAURANT#GENERAL,positive
"Nereye gitsek kararsızlığına düşmek üzereyken kurtarıcı olan mekandır Kütük Ev. İçeriden ve dışarıdan tamamen bir dağ evini andırmasıyla egzotik bir havaya sahip olan mekanda servis nispeten hızlı, fiyatlar pahalı değil, bahçesi güzel. Kışın daha çok tercih edilebilecek bir yer ama yazın da gidilir gidilmesine.",,SERVICE#GENERAL,positive
"Sunduklari lezzetleri ve gösterdikleri ilgi ile Küçük Ev sayesinde güzel bir aksam geçirdik. Ardindan en çok begendigim ise döner oldu. Gayet lezzetliydi. Bence buraya yolunuz düserse dönerini ve kavurmali pidesini kesinlik denemenizi öneririm. Diger yediklerimizide begendim hepsi güzellerdi. Kendi üretimleri manda yogurtlarinida denemenizde fayda var. Tatlilardan ise en çok kazandibini ve kaymakli ayva tatlisini begendim. Fiyatlar ise sunulan hizmet, kalite ve merkezi konumundan dolayi uygun sayilir. Son resimde menü içerigini görebilirsiniz. Öncelikle ortamini çok begendim. Güzel, sik ve ferah bir ortami var. Özellikle restorantin tam ortasindaki agaç çok hosuma gitti. Bence asla kesilmemesi lazim. O agaci korumak için gösterdiginiz çaba kesinlikle isletmenizin sayginligini fazlasiyla arttiracaktir. Hazir ürünlerden çok yöresel ve kendi üretimleri ürünleri kullaniyor oluslari çok hosuma gitti. Trabzon ve Rizeden gelen kavurmalar ile yapilan kasarli ve kavurmali pide beni benden aldi. Harikaydi...",,AMBIENCE#GENERAL,positive
